Key,English,Simplified_Chinese
PROPQUEST_REQUESTBOX_INC_000091,You can collect nyanyang near the Giant Nyangnyang.,彩色野果可以在彩冠翎猫出没的地方搜寻喔！彩色野果是彩冠翎猫爱吃的食物呢～
PROPQUEST_REQUESTBOX_INC_000146,You can collect the office documents near Mias.,“城镇服务处的文件”可以在米娅娃娃地区寻获喔！
PROPQUEST_REQUESTBOX_INC_000301,You do not want to collect them? Okay.,你不想收集他们吗？好吧。
PROPQUEST_REQUESTBOX_INC_000369,You need more $QUEST_END_ITEM_NAME$.,“$QUEST_END_ITEM_NAME$”的数量不够啦～数量要正确喔！
PROPQUEST_REQUESTBOX_INC_000303,You do not have enough $QUEST_END_ITEM_NAME$.,黄宝石的数量不够啦！数量要正确喔。
PROPQUEST_REQUESTBOX_INC_000049,Well done. You have successfully completed the quest.,很好。你已经成功完成任务了。
PROPQUEST_REQUESTBOX_INC_000357,Good Job! You successfully completed the quest. Take this for your trouble.,做得好！任务完成了
PROPQUEST_REQUESTBOX_INC_000362,$QUEST_END_NPC_NAME$ was happy that the quest was completed.,$QUEST_END_NPC_NAME$很开心任务已经完成了。
PROPQUEST_REQUESTBOX_INC_000307,$QUEST_END_NPC_NAME$ was happy to see the quest completed.,$QUEST_END_NPC_NAME$ 很开心见证到了任务的完成。
PROPQUEST_REQUESTBOX_INC_000582,$QUEST_END_NPC_NAME$ is very grateful to you for completing this quest.,帮皮姬完成了这么难的任务后，他很开心呢～而且马上又开始搜集其他委托事项了！
PROPQUEST_REQUESTBOX_INC_000001,Party of Is,艾丝的烤肉派对
PROPQUEST_REQUESTBOX_INC_000002,Is needs you to gather Chupim for her party. Will you help?,艾丝委托我收集烤肉派对时要用的坚果，请问您要接受这个委托吗？
PROPQUEST_REQUESTBOX_INC_000007,Is asking you to collect Chupim for her party.,艾丝为了举办烤肉派对，所以请委托中心帮忙收集坚果！
PROPQUEST_REQUESTBOX_INC_000012,Unknown Situation (1),未知情况 (1)
PROPQUEST_REQUESTBOX_INC_000013,Flaris Pang needs you collect unknown letters. Will you help?,帕里胖胖委托本中心收集“诡异的信件”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000018,Flaris Pang wants you to collect $QUEST_END_ITEM_NAME$.,帕里胖胖请委托中心帮忙收集掉落在生命光柱附近的诡异的信件
PROPQUEST_REQUESTBOX_INC_000024,Flaris Pang needs you to collect Unknown Certificates. Will you help?,帕里胖胖委托本中心去收集“诡异的证件”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000034,Flying Board,滑板～飞吧～
PROPQUEST_REQUESTBOX_INC_000035,Dior needs you to collect Peakyrinds. Will you help?,迪奥为了大量的制造飞行滑板，所以委托本中心去收集“硬壳”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000040,Dior wants you to collect Peakyrinds.,迪奥为了大量制造滑板而拜托委托中心收集滑板的材料“硬壳”
PROPQUEST_REQUESTBOX_INC_000045,Fresh Start for Mop,熊娃娃新生活
PROPQUEST_REQUESTBOX_INC_000046,House of Children needs you to collect Mop for their children. Will you help?,瑞加大陆唯一的孤儿院“遗失的天使”想要准备一些礼物送给院童，因此委托本中心去收集丹丹的娃娃。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000051,House of Children wants you to collect 3 Mop.,孤儿院“遗失的天使”请委托中心收集小熊玩偶
PROPQUEST_REQUESTBOX_INC_000056,Gems for Wands,法杖的宝石
PROPQUEST_REQUESTBOX_INC_000057,Madrigal Magician Union wants you to collect Poporam for their wands. Will you help?,瑞加大陆世界的魔导士协会为了制造新法杖，所以请委托中心去收集紫晶球。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000062,Madrigal Magician Union wants you to collect 4 Poporam.,瑞加大陆的魔导士协会为了制造新法杖，特别请委托中心收集紫晶球
PROPQUEST_REQUESTBOX_INC_000067,"Cookie Machine, Valin Baget",饼干制造器
PROPQUEST_REQUESTBOX_INC_000068,Valin needs you to collect Slain to fuel his Cookie Machine. Will you help?,巴陵为了制造面包，需要一些饼干制造机的燃料，所以委托本中心去收集“狼指甲”。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000073,Valin needs you to collect Slain for his cookie machine.,巴陵需要饼干制造器的燃料，所以请委托中心收集狼指甲
PROPQUEST_REQUESTBOX_INC_000078,Magic Quill,神秘的魔法笔
PROPQUEST_REQUESTBOX_INC_000079,Mule wants you to collect Tarin roots so he can make a new magic quill. Will you help?,穆勒为了写一本小说，所以需要一支魔法笔，他委托本中心去收集“塔林根茎”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000084,Mule needs you to collect Tarin roots.,穆勒为了写小说，需要用塔林根茎来制作魔法笔。
PROPQUEST_REQUESTBOX_INC_000089,Lyangglatang,娘娘果浓汤
PROPQUEST_REQUESTBOX_INC_000090,Rooney wants you to collect Nyanyangs for her party. Will you help?,鲁尼想要为哥哥煮一锅彩色野果浓汤，所以请本中心去收集彩色野果。您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000095,Rooney needs you to collect Nyanyangs.,鲁尼需要用彩色野果煮一锅彩色野果浓汤给哥哥喝。
PROPQUEST_REQUESTBOX_INC_000100,10 Year anniversary gift,开店10周年庆的赠品
PROPQUEST_REQUESTBOX_INC_000101,Marche wants you to collect Starstones to make a 10 year anniversary gift. Will you help?,玛尔琪为了庆祝开店10周年庆，想要准备一些纪念品！因此委托本中心去收集星星石，您要接受任务吗？
PROPQUEST_REQUESTBOX_INC_000106,Marche needs Starstones,玛尔琪为了开店10周年庆，需要一些星星石做为赠品。
PROPQUEST_REQUESTBOX_INC_000111,Liquor for Dunkan,多肯的酿酒日记
PROPQUEST_REQUESTBOX_INC_000112,Dunkan needs you to collect Golden Wings to make a new liquor. Will you help?,多肯想要酿新酒，所以请委托本中心去收集新酒的材料“黄金翅膀”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000117,Dunkan wants Golden Wings.,多肯要用黄金翅膀酿新品酒。
PROPQUEST_REQUESTBOX_INC_000122,Sweet Dessert,甜美的点心－蓝蜜派
PROPQUEST_REQUESTBOX_INC_000123,Damian needs you to collect Blue Honey to make a new dessert. Will you help?,顽童迪米想要制作美味点心，所以请委托本中心去收集点心材料“蓝蜜”。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000128,Damian needs Blue Honey,顽童迪米需要蓝色蜂蜜制作美味的点心。
PROPQUEST_REQUESTBOX_INC_000133,Blessed Doll,得到祝福的娃娃
PROPQUEST_REQUESTBOX_INC_000134,House of Children needs you to collect Mia Dolls as presents for the children. Will you help?,孤儿院“遗失的天使”需要一些可以送给院童的礼物，因此委托本中心去收集米娅的娃娃。您要接受吗？
PROPQUEST_REQUESTBOX_INC_000139,House of Children wants Mia Dolls.,孤儿院“遗失的天使”请委托中心收集米娅的娃娃。
PROPQUEST_REQUESTBOX_INC_000144,Lost Documents,遗失的文件
PROPQUEST_REQUESTBOX_INC_000145,Julia needs you to collect office documents stolen by the Mias. Will you help?,茱丽亚委托本中心去收集被米娅娃娃偷走的文件，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000150,Julia wants the office documents that the mia stole.,茱丽亚请委托中心去米娅姊姊的栖息地寻找被偷的文件
PROPQUEST_REQUESTBOX_INC_000155,Brightly Burning Flame,燃烧吧～火柴！
PROPQUEST_REQUESTBOX_INC_000156,Bozman needs you to collect furious matches to use at his blast furnace. Will you help?,波兹曼需要你收热能火柴来在他的镕炉使用。你会帮忙吗？
PROPQUEST_REQUESTBOX_INC_000161,Bozman wants furious matches,波兹曼想要热能火柴
PROPQUEST_REQUESTBOX_INC_000166,Unknown Situation (2),诡异的现象 –下–
PROPQUEST_REQUESTBOX_INC_000167,Flaris Pang needs you to collect unknown letters.,帕里胖胖委托本中心去收集“诡异的信件”，您要接受吗？
PROPQUEST_REQUESTBOX_INC_000172,Flaris Pang needs unknown letters again.,帕里胖胖请委托中心收集“诡异的信件”。
PROPQUEST_REQUESTBOX_INC_000177,Delicious Sauce,美味的螳螂调味料
PROPQUEST_REQUESTBOX_INC_000178,Kalin needs you to collect Cardrin to make delicious sauce.,卡琳为了制作最美味的螳螂调味料，特别请委托中心收集磨刀石。请问您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000183,Kalin wants Cardrin.,卡琳为了制作最美味的螳螂调味料，所以请委托中心收集磨刀石。
PROPQUEST_REQUESTBOX_INC_000188,Magic Orb,魔法珠珠
PROPQUEST_REQUESTBOX_INC_000189,Martin needs Hammarble to make a Magic Orb. Will you help?,马丁为了制作魔法珠珠，所以请我们委托中心去收集哈玛结晶。您要接受本次委托事项吗？
PROPQUEST_REQUESTBOX_INC_000194,Martin wants Hammarbles.,马丁为了制作魔法千里眼珠珠，所以请委托中心去收集哈玛结晶。
PROPQUEST_REQUESTBOX_INC_000199,Mark of Bill,比尔的成功时代 ─比尔的纹章─
PROPQUEST_REQUESTBOX_INC_000200,Bill needs you to collect Gigglande so that he can make his mark. Will you help?,比尔为了制作自己品牌的纹章，特别请我们委托中心去收集压箱宝石。您要接受这项委托事项吗？
PROPQUEST_REQUESTBOX_INC_000205,Bill wants Gigglande.,比尔想要用压箱宝石制作自己的纹章，所以请委托中心收集。
PROPQUEST_REQUESTBOX_INC_000210,Repair Work on Saint Hall,晨光市厅修护工程
PROPQUEST_REQUESTBOX_INC_000211,Helena needs you to collect Crescent Stones to repair Saint Hall. Will you help?,海伦娜为了晨光市厅的维护工程，特别请我们委托中心去收集月长石。
PROPQUEST_REQUESTBOX_INC_000216,Helena wants $QUEST_END_ITEM_NAME$.,海伦娜希望委托中心能够帮她收集月长石。
PROPQUEST_REQUESTBOX_INC_000221,Helping injured animals,关怀残障犬活动
PROPQUEST_REQUESTBOX_INC_000222,Madrigal Animal Association needs you to collect Bobands to help their injured animals. Will you help?,瑞加大陆的残障犬保护团体想要举行爱心救助活动，因此请我们委托中心去帮忙收集浪人眼罩。您要接受这委托吗？
PROPQUEST_REQUESTBOX_INC_000227,Madrigal Animal Association wants Bobands.,瑞加大陆的残障犬保护团体请委托中心收集浪人眼罩。
PROPQUEST_REQUESTBOX_INC_000232,Strange Collector,诡异的搜集家
PROPQUEST_REQUESTBOX_INC_000233,Strange Collector needs you to collect Dumblings for his collection. Will you help?,"有一位不知名的搜藏家委托了搜集牛鼻环的任务,你要接受这个任务吗?"
PROPQUEST_REQUESTBOX_INC_000243,For the Wife,为了妻子的祝福
PROPQUEST_REQUESTBOX_INC_000244,Mayer needs Kalin to make a present for his wife. Will you help?,"市长为了制造胸针送给妻子,委托了搜集火红胸花的任务,你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000249,Mayer wants Kalin.,"市长为了制造胸针送给妻子,委托了搜集“火红胸花”的任务"
PROPQUEST_REQUESTBOX_INC_000254,Weak Heart,软弱的心脏
PROPQUEST_REQUESTBOX_INC_000255,Helena needs clock hearts to make a new heart for her sick brother. Will you help?,"海伦娜为了帮妹妹移植心脏手术,委托了搜集“发条心脏”的任务"
PROPQUEST_REQUESTBOX_INC_000265,Devil Marble,恶魔的大理石
PROPQUEST_REQUESTBOX_INC_000266,Bill needs Tomb Marbles to make the Devil Marble. Will you help?,"比尔为了制造最优等的大理石,委托了搜集石柱碎片的任务,你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000271,Bill wants Tomb Marbles.,"比尔为了制造优等的大里石,委托了搜集“大理石快”"
PROPQUEST_REQUESTBOX_INC_000276,Dream of the Fighter,格斗家的期望
PROPQUEST_REQUESTBOX_INC_000277,Fighter needs you to collect Golden Fists to make a golden glove. Will you help?,"格斗家为了强化他们的全套,委托了搜集黄金拳头,你要接受委托吗?"
PROPQUEST_REQUESTBOX_INC_000282,Fighter wants Golden Fists.,"格斗家为了制造强化的全套,委托了搜集“黄金拳头”"
PROPQUEST_REQUESTBOX_INC_000287,Marbles for the Son,宝宝玩的弹珠
PROPQUEST_REQUESTBOX_INC_000288,Mayer needs orbin to make marbles for his son. Will you help?,"市长为了送儿子生日礼物,想制造一些弹珠,所以委托了搜集破裂魔石，请问你要接受吗?"
PROPQUEST_REQUESTBOX_INC_000293,Mayer wants orbin.,"市长为了送儿子生日礼物,想制造一些弹珠,所以委托了搜集破裂魔石"
PROPQUEST_REQUESTBOX_INC_000298,Strange Collector (2),诡异的搜集家2
PROPQUEST_REQUESTBOX_INC_000299,Strange Collector needs you to collect $QUEST_END_ITEM_NAME$ for his collection. Will you help?,"有一位诡异的搜集家委托了搜集黄宝石,请问你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000304,Strange Collector wants $QUEST_END_ITEM_NAME$.,有一位诡异的搜集家委托了搜集黄宝石
PROPQUEST_REQUESTBOX_INC_000309,Lens of Olien,席琳娜的隐形眼镜
PROPQUEST_REQUESTBOX_INC_000310,Olien needs you to collect steam tears to make a new lens. Will you help?,"席琳娜为了制造隐形眼镜,委托了搜集蒸汽机结晶,你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000315,Olien wants steam tears.,"席琳娜为了制造隐形眼镜,委托了搜集蒸汽机结晶"
PROPQUEST_REQUESTBOX_INC_000320,Red Muffler,红色围巾
PROPQUEST_REQUESTBOX_INC_000321,Soldier needs you to collect knightlers to make a new scarf. Will you help?,"军人为了制造围巾,委托了搜集“骑士围巾”,你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000326,Soldier wants knightler.,"军人为了制造围巾,委托了搜集“骑士围巾”"
PROPQUEST_REQUESTBOX_INC_000331,Dwarpet Festival,矮人节
PROPQUEST_REQUESTBOX_INC_000332,The Dwarpet needs you to collect wheeshoes for their festival. Will you help?,"矮人族要制作活动时穿的鞋子,委托了搜集皮靴,请问你要接受任务吗?"
PROPQUEST_REQUESTBOX_INC_000337,The Dwarpet wants wheesoes.,"矮人族要制作活动时穿的鞋子,委托了搜集皮靴"
PROPQUEST_REQUESTBOX_INC_000342,Crane Repair,停止的轮子
PROPQUEST_REQUESTBOX_INC_000343,The Erons Industrial Manager needs Droil to repair their crane. Will you help?,"绿磷石开采集团为了修复开采起重机,委托了搜集润滑油的任务,你要接受吗?"
PROPQUEST_REQUESTBOX_INC_000348,Erons want Droils.,"绿磷石开采集团为了修复开采起重机,委托了搜集润滑油的任务"
PROPQUEST_REQUESTBOX_INC_000353,Urgently looking for a Bandage,搜集绷带
PROPQUEST_REQUESTBOX_INC_000364,Portable Power,携带用的发光器
PROPQUEST_REQUESTBOX_INC_000375,Strange Collector (3),诡异的搜集家3
PROPQUEST_REQUESTBOX_INC_000386,Replacement Tires,再生轮胎
PROPQUEST_REQUESTBOX_INC_000387,The Dwarpet needs you to collect Dumptires to replace his flat tires. Will you help?,矮人族为了制造可以长久使用的轮胎，委托了搜集制作轮胎材料的“火焰轮胎”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000392,The Dwarpet wants Dumptire.,矮人族为了制造可以长久使用的轮胎，委托了搜集制作轮胎材料的“火焰轮胎”
PROPQUEST_REQUESTBOX_INC_000397,Strange Collector (4),诡异的搜集家4
PROPQUEST_REQUESTBOX_INC_000398,Mysterious collector needs Garbageton for his collection. Will you help?,诡异的搜集家委托了搜集混合结晶，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000408,Relics of a Husband,丈夫的遗物
PROPQUEST_REQUESTBOX_INC_000409,A widow has asked that you collect Eronior so that she can re-make the ring of her husband. Will you help?,有一个流浪人，遗失了老公戒指上的一个宝石，为了制造宝石，流浪人委托了搜集制造宝石材料的“沉积宝石”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000414,A widow wants some Eronior.,有一个流浪人为了制造宝石，委托了搜集制造宝石材料的“沉积宝石”
PROPQUEST_REQUESTBOX_INC_000419,Disguise of Remina,雷米娜的变身
PROPQUEST_REQUESTBOX_INC_000420,Remina needs you to collect repygle to make a pair of disguising sunglasses. Will you help?,雷米娜为了制造一副墨镜，委托了搜集制造墨镜的材料“夜视镜”，你要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000425,Remina wants $QUEST_END_ITEM_NAME$.,雷米娜为了制造一副墨镜，委托了搜集制造墨镜的材料“夜视镜”
PROPQUEST_REQUESTBOX_INC_000430,Beautiful Keil Wallpaper,美丽的蓝光壁纸
PROPQUEST_REQUESTBOX_INC_000431,Haven needs you to collect Sycale to re-model the Magic Shop. Will you help?,哈本为了整修魔法商店，委托了搜集制造壁纸用的“绿鳞片”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000436,Heaven wants Sycale.,海音为了整修魔法商店，委托了搜集制造壁纸用的“绿鳞片”
PROPQUEST_REQUESTBOX_INC_000441,Strange Collector (5),诡异的搜集家5
PROPQUEST_REQUESTBOX_INC_000442,Strange Collector needs $QUEST_END_ITEM_NAME$ for his collection. Will you help?,诡异的搜集家，委托了搜集“泥液”，您接受委托吗？
PROPQUEST_REQUESTBOX_INC_000447,Strange collector want Mong Tear,诡异的搜集家，委托了搜集“泥液”
PROPQUEST_REQUESTBOX_INC_000452,Anesthetic Needs,缺发麻醉药剂
PROPQUEST_REQUESTBOX_INC_000463,New Kind of Firework,制作新的鞭炮
PROPQUEST_REQUESTBOX_INC_000464,The Fireworks Producer needs Bomb Timers to make a new kind of firework. Will you help?,鞭炮商要制造新品种的鞭炮，委托了搜集鞭炮材料“计时装置”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000465,You get bombtimers from any type of Carrierbomb.,你可以在爆破者的所有类型搜集得到喔！
PROPQUEST_REQUESTBOX_INC_000469,The Firework Producer wants Bomb Timers.,鞭炮商要制造新品种的鞭炮，委托了搜集鞭炮材料“计时装置”
PROPQUEST_REQUESTBOX_INC_000474,Snack for the Children,孩子的零食
PROPQUEST_REQUESTBOX_INC_000475,Bolpor needs Prewing to make some snacks for the children. Will you help?,沃尔波尔为了制作孩子们的零食，委托了搜集零食的材料依蛾翅膀，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000480,Bolpor wants Prewing.,沃尔波尔为了制作孩子们的零食，委托了搜集零食的材料依蛾翅膀。
PROPQUEST_REQUESTBOX_INC_000485,Mushroom Farm of Chitller,维德的香菇农场
PROPQUEST_REQUESTBOX_INC_000486,Chitller needs you to collect Poiespore for his mushroom farm will you help?,维德为的在农场里种香菇，委托了搜集“魔菇孢子”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000491,Chitller wants Poiespore.,维德为的在农场里种香菇，委托了搜集“魔菇孢子”
PROPQUEST_REQUESTBOX_INC_000496,New Yo-Yo,制作新的飞轮
PROPQUEST_REQUESTBOX_INC_000497,An Acrobat master needs you to gather Renyken to make a new Yo-Yo. Will you help?,杂技师集团人员要制造新的飞轮，委托了搜集制造溜刃的材料“刀尾刃”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000502,An Acrobat master wants Renyken.,杂技师集团人员要制造新的飞轮，委托了搜集制造溜刃的材料“刀尾刃”
PROPQUEST_REQUESTBOX_INC_000507,Disguise of a Native,原住民的大变身
PROPQUEST_REQUESTBOX_INC_000508,Darkon natives need you to collect Tangkask. Will you help?,原住民为了逃离哇当卡，委托了搜集“土著面具”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000513,Darkon natives want Tankask.,原住民为了逃离哇当卡，委托了搜集“土著面具”
PROPQUEST_REQUESTBOX_INC_000518,Woodworking Material,木工所氾滥
PROPQUEST_REQUESTBOX_INC_000529,The Best Shield,顶级盾牌
PROPQUEST_REQUESTBOX_INC_000530,Remina needs Luchest to make the strongest shield in the world. Will you help?,雷米娜为了制造强化盾牌，委托了搜集“火鸟胸甲”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000540,Beauty Contest Award,美少女选拔赛的奖品
PROPQUEST_REQUESTBOX_INC_000541,The Madrigal Beauty Contest needs Eronsimint for making an award. Will you help?,瑞加大陆为了制造美少女选拔赛要使用的奖杯，委托了搜集材料“绿方石”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000546,The Madrigal Beauty Contest sponsor wants Eronsimint.,瑞加大陆为了制造美少女选拔赛要使用的奖杯，委托了搜集材料“绿方石”
PROPQUEST_REQUESTBOX_INC_000551,Lucky Tool,卢尼的烟囱
PROPQUEST_REQUESTBOX_INC_000552,Lucky needs Hammamer to make a lucky hammer. Will you help?,卢尼为了制作一个新的烟囱，委托了搜集制作烟囱的材料“象槌”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000557,Lucky wants Hammamer.,卢尼为了制作一个新的烟囱，委托了搜集制作烟囱的材料“象槌”
PROPQUEST_REQUESTBOX_INC_000562,Strange Collector (6),诡异的搜集家6
PROPQUEST_REQUESTBOX_INC_000573,Request of Lurif,皮姬的委托
PROPQUEST_REQUESTBOX_INC_000574,Could you do me a favor? I need Phanbubble. Can you help me please?,我想拜托你一件事情，我需要“鱼皮珠”，可以接受我的委托吗？
PROPQUEST_REQUESTBOX_INC_000579,Lurif needs many Phanbubbles.,皮姬委托了搜集“鱼皮珠”不知道什么原因噎～
PROPQUEST_REQUESTBOX_INC_000815,Mysterious Magic Material,神秘的魔法材料
PROPQUEST_REQUESTBOX_INC_000816,Magician Master requested you to collect Merahook which is a magic material. Will you accept this request?,魔法大师委托你去收集能作为魔法材料的变种蝙蝠的指甲。你愿意接受委托吗？
PROPQUEST_REQUESTBOX_INC_000817,You can collect them from the group of Chimeradon in the Deadwallderness.,你能从龙息荒野的变种蝙蝠群中收集这些物品。
PROPQUEST_REQUESTBOX_INC_000826,Avenge Nerky,报复独眼野熊
PROPQUEST_REQUESTBOX_INC_000827,Krinton's pet Bearnerky got killed by the other Bearnerky. Krinton requested you to collect NerkyMane for revenge. Will you accept this request?,宠物驯兽师的独眼野熊宠物被另一只独眼野熊杀死了，宠物驯兽师为了报仇想委托你去收集野熊指甲。你愿意接受委托吗？
PROPQUEST_REQUESTBOX_INC_000828,You can collect them from the group of Bearnerky in the Deadwallderness.,你可以从龙息荒野的独眼野熊群处收集到这些物品。
PROPQUEST_REQUESTBOX_INC_000837,Bolpor's favor,沃尔波尔的善行
PROPQUEST_REQUESTBOX_INC_000838,Bolpor requested you to collect Rincruet for making some special food. Will you accept this request?,沃尔波尔委托你去收集麻普调味桶来制作一些特别的食物。你要接收这个委托吗？
PROPQUEST_REQUESTBOX_INC_000839,You can collect them from the group of Muffrin in the Deadwallderness.,你可以从龙息荒野的麻普厨师收集到这些物品。
PROPQUEST_REQUESTBOX_INC_000848,Toy Materials,玩具的制作材料
PROPQUEST_REQUESTBOX_INC_000849,A toy merchant requested you to collect Popshift for making fancy toys. Will you accept this request?,玩具商人委托你去收集回转控制杆来制作花式蜡质玩具。你要接受这个委托吗？
PROPQUEST_REQUESTBOX_INC_000850,You can collect them from the group of Popcrank in the Deadwallderness.,你可以从龙息荒野的魔盒小丑群处收集这些物品。
PROPQUEST_REQUESTBOX_INC_000859,Evil Eyed Red Dragon,恶眼红龙
PROPQUEST_REQUESTBOX_INC_000860,Can you please go find Dragon Tooth of the Meteonyker Dragon for me? The Arena Manager Lay requested 5 of them.,竞技场管理员雷需要5个飞龙的牙齿，可以请你帮忙去获取吗？
PROPQUEST_REQUESTBOX_INC_000861,"You can collect them from Meteonyker. I heard it's in Dekane Dungeon. Be careful, the Meteonyker is very strong! It's  best if you go with a party!",你可以从达肯矿洞里的飞龙处获取这些物品。但是请小心，飞龙非常强大！
PROPQUEST_REQUESTBOX_INC_010000,Moth Infestation,蜂蛾的侵袭
PROPQUEST_REQUESTBOX_INC_010001,Tina asked for help with reducing the Mothbee population as they're causing problems with transport. Could you kill 15 of them?,蒂娜请求帮她减少苍翼蜂蛾的数量，因为它们给运输带来了问题。你能杀15只苍翼蜂蛾吗？
PROPQUEST_REQUESTBOX_INC_010002,You can find Mothbee flying inbetween Northern Saint City & Flaris.,你能在晨光北部和帕里镇之间看到苍翼蜂蛾。
PROPQUEST_REQUESTBOX_INC_010003,You don't want to help? That's okay. We'll find somebody else.,你不想帮忙？好吧，那我们找别人了。
PROPQUEST_REQUESTBOX_INC_010004,You haven't finished the task yet.,你尚未完成此任务。
PROPQUEST_REQUESTBOX_INC_010005,Mutated Aibatts,变异的独眼蝠
PROPQUEST_REQUESTBOX_INC_010006,Tina has reported a new kind of Masquerpet called Zendros. Please could you kill 15 of them?,蒂娜报告了一种名为变异独眼蝠的怪物，可以请你杀掉15只吗？
PROPQUEST_REQUESTBOX_INC_010007,You can find Zendros flying between Flaris and Saint morning continents.,你可以发现变异独眼蝠在帕里和晨光大陆之间飞行。
PROPQUEST_REQUESTBOX_INC_010008,Dragonflies,蜻蜓
PROPQUEST_REQUESTBOX_INC_010009,Tina asked for help with reducing the Neparuba population as they're causing problems with transport. Could you kill 15 of them?,蒂娜请求减少变异刀尾蚊的数量，因为它们给运输带来了问题。你能杀掉15只变异刀尾蚊吗？
PROPQUEST_REQUESTBOX_INC_010010,You can find Neparuba flying between Flaris and Saint morning continents.,你可以找到变异刀尾蚊在帕里和晨光大陆之间飞行。
PROPQUEST_REQUESTBOX_INC_010011,Flybrigen Brigade,飞翼魔灯大部队
PROPQUEST_REQUESTBOX_INC_010012,Tina asked for help with reducing the Flybrigen population as they're causing problems with transport. Could you kill 15 of them?,蒂娜请求减少飞翼魔灯的数量，因为它们给运输带来了问题。你能杀15只飞翼魔灯吗？
PROPQUEST_REQUESTBOX_INC_010013,You can find Flybrigen flying between Saint Morning and Garden of Rhisis continents.,你可以发现飞翼魔灯在晨光大陆和莱斯庭院之间飞行。
PROPQUEST_REQUESTBOX_INC_010014,Moth Infestation (2),蜂蛾的侵袭(2)
PROPQUEST_REQUESTBOX_INC_010015,Tina is asking for further help regarding the Mothbee infestation. Could you get rid of the Lord Mothbee?,蒂娜正在寻求关于应对蜂蛾侵扰的进一步帮助。你能除掉苍翼蜂蛾之王吗？
PROPQUEST_REQUESTBOX_INC_010016,You can find the Lord Mothbee flying inbetween Northern Saint City & Flaris.,你可以在晨光和帕里上空找到苍翼蜂蛾之王。
