Key,English,Simplified_Chinese
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,红木硬木
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,红色油漆
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,蓝色油漆
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,黄色油漆
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,绿色油漆
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,黑色油漆
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,白色油漆
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,金色油漆
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,实木椅
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,实木桌
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,实木抽屉柜
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,实木书柜
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,实木沙发
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,黄色实木椅
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,黄色实木桌
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,黄色实木梳妆台
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,黄色实木衣柜
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,黄色实木长椅
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,黄色实木橱柜
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,黄色实木床
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,蓝色实木椅
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,蓝色实木桌
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,蓝色实木梳妆台
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,蓝色实木衣柜
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,蓝色实木长椅
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,蓝色实木橱柜
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,蓝色实木床
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,红色实木椅
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,红色实木桌
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,红色实木梳妆台
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,红色实木衣柜
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,红色实木长椅
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,红色实木橱柜
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,红色实木床
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,音乐风椅
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,音乐风桌
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,音乐风梳妆台
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,音乐风衣柜
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,音乐风沙发
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,音乐风橱柜
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,音乐风床
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,摩登椅
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,摩登桌
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,摩登梳妆台
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,摩登衣柜
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,摩登沙发
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,摩登橱柜
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,摩登床
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,富有设计的黑色椅子
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,富有设计的白色椅子
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,富有设计的桌子
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,富有设计的抽屉柜
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,富有设计的书柜
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,富有设计的沙发
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,心形椅
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,心形桌
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,心形梳妆台
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,心形衣柜
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,心形沙发
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,心形橱柜
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,心形床
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,靠垫椅
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,古典书桌
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,指挥台
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,小型桌
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,抽屉柜
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,双人床
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,皇室椅
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,皇室桌
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,皇室梳妆台
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,皇室衣柜
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,皇室沙发
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,皇室床
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,皇室抽屉柜
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,皇室书柜
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,皇室桌
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,皇室浴缸
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,金色皇家椅
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,金色皇家桌
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,金色皇家梳妆台
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,金色皇家衣柜
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,金色皇家沙发
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,金色皇家床
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,金色皇家抽屉柜
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,金色皇家书柜
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,金色皇家桌
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,金色皇家浴缸
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,炼金桌
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,火炉
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,木匠台
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,锻造台
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,宝石粉末
PRODUCTION_RECIPE_NAME_MARBLE,Marble,大理石
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,水晶
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,抛光绿松石
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,青铜
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,孔雀石
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,抛光玉
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,抛光银
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,抛光金
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,抛光铂金
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,抛光钻石
PRODUCTION_RECIPE_NAME_GLASS,Glass,玻璃
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,人造珍珠
PRODUCTION_RECIPE_NAME_FLASK,Flask,烧瓶
PRODUCTION_RECIPE_NAME_HINGE,Hinge,铰链
PRODUCTION_RECIPE_NAME_SPRING,Spring,弹簧
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,金球
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,宝石线
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,银饰
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,金饰
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,地球仪
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,吊灯
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,镜子
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,力量银饰
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,防御银饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,力量金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,狂魔金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,防御金饰
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,御魔金饰
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,蹈火玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,碧波玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,风驰玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,泥沙玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,电掣玉石
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,蹈火玉器
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,碧波玉器
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,风驰玉器
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,泥沙玉器
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,电掣玉器
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,力量戒指
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,体质戒指
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,敏捷戒指
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,智力戒指
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,金刚耳环
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,白银耳环
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,生命女神项链
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,魔力之源项链
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,活力之源项链
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,战神耳环
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,天衣耳环
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,虚幻耳环
PRODUCTION_RECIPE_NAME_PEP,Pep,血脉项链
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,魔力之钥项链
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,冰晶活力项链
PRODUCTION_RECIPE_NAME_STRENTE,Strente,神力戒指
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,神意戒指
PRODUCTION_RECIPE_NAME_DEXION,Dexion,风神戒指
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,手工银戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,特制金戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,特制铂金戒
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,特制钻戒
