Key,English,Traditional_Chinese
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.",達到 15 級後，可與布拉里斯的朱莉亞交談，取得轉職任務。勇者與神職者的任務從布拉里斯開始，魔法使的任務從聖音特開始，雜技師的任務則從得肯開始。
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,為什麼到了 15 級就無法再獲得經驗值？
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.",等級到了 15 級之後，就無法再獲得經驗值了，必須去執行第一次『轉職任務』，在成功轉職之後才能再繼續獲得經驗值。等級 15 級之後，一定要去和想要轉的職業的教官見面，並執行任務。
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.",在技能學習上，必須先滿足可習得的角色等級及前置技能。所以無法習得技能時，請確定是否滿足習得條件。
CLIENT_FAQ_INC_000020,How do I fly?,如何飛行？
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,達到 20 級後，可向玩家或 NPC 購買滑板或掃帚，雙擊裝備後即可飛行。
CLIENT_FAQ_INC_000022,How do I move the camera.,如何移動視角？
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,主要有兩種移動視角的方式。舊版本：按住滑鼠滾輪按鈕，再移動滑鼠。新版本：按住滑鼠右鍵，再移動滑鼠。也可使用滑鼠滾輪拉近、拉遠及旋轉視角。
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,如何恢復預設視角？
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,舊版本：雙擊滑鼠滾輪按鈕。新版本：雙擊滑鼠右鍵。
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",飛行時視角的移動真不方便。
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys",飛行時，可以雙擊滑鼠右鍵或使用方向鍵。
CLIENT_FAQ_INC_000028,How can I use Emoticons?,如何使用表情動作？
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,"按 F9 鍵即可坐下休息，再按一次 F9 鍵即可站起。也可以按 O 鍵開啟動作視窗，選擇坐下動作並拖曳至快捷欄。"
CLIENT_FAQ_INC_000030,How do you trade with other characters?,角色之間要如何交易？
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.",請靠近要進行交易的角色，並按住鍵盤上的『ALT』鍵，然後使用滑鼠選定角色。此時會出現一列選項，選擇『交易』的選項即可進行交易。正在進行交易時，將無法使用物品、NPC 交易與丟棄物品。
CLIENT_FAQ_INC_000032,Where can I get a quest?,任務要去哪裡接？
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,與 NPC 交談，即可了解有哪些任務可以承接。
CLIENT_FAQ_INC_000034,What is a duel?,什麼是決鬥？
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.",決鬥是玩家雙方同意後進行的 PvP (Player Vs Player) 對戰，決鬥本身不會帶來懲罰。
CLIENT_FAQ_INC_000036,How can I become famous?,如何提升名聲？
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,在大賽中贏得越多勝利，名聲就越響亮。當你成為高等級玩家，無論走到哪裡都會有人認識你。
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,為什麼有些玩家的名字是紅色的？我可以攻擊所有人嗎？
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.",擊敗其他玩家會提高 PK 值與惡名；數值越高，角色受到的懲罰越重，PK 角色的名稱也會顯示為紅色。完成懺悔任務可降低 PK 值；擊敗怪物或角色遭擊敗則可降低惡名。
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?",遇到遊戲錯誤時該怎麼辦？
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,遇到遊戲錯誤時，請至官方論壇 $WEBSITE$ 發文回報。
CLIENT_FAQ_INC_000042,What is a guild?,何謂公會？
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.",公會是比劇團更大的社群。隨著公會等級提升，可使用公會銀行、公會披風及一對一公會戰等功能。
CLIENT_FAQ_INC_000044,Where can we form a guild?,公會要在哪裡創呢？
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.",想創立公會就要去聖音特城的 [城鎮服務處] 找 NPC 海蓮娜說話。創公會時，角色的等級必須 40 級以上，等級到了 40 級之後，透過任務就能夠創立公會。
CLIENT_FAQ_INC_000046,How about a Party?,劇團是什麼？
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,你可以建立劇團，輕鬆地與其他玩家組隊遊玩。
CLIENT_FAQ_INC_000048,How to invite other players?,如何邀請其他成員？
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,點選玩家並選擇邀請加入劇團。
